Submission ID,Track,Keywords,Contributions,Languages
115,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings|publicly available software and pre-trained models,
116,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",natural language inference,nlp engineering experiment,
118,Machine Translation,efficient inference for mt,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency",
120,Multilingualism and Cross-Lingual NLP,cross-lingual transfer,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings,
129,Machine Learning for NLP,multi-task learning,model analysis & interpretability|theory,
133,Dialogue and Interactive Systems,task-oriented|multilingual / low resource|dialogue state tracking,approaches for low-resource settings,
138,Machine Learning for NLP,representation learning,model analysis & interpretability|data analysis|position papers,
140,Theme Track: Reality Check,evaluation,surveys,
145,Interpretability and Analysis of Models for NLP,adversarial attacks/examples/training,model analysis & interpretability,
150,Machine Learning for NLP,few-shot learning|meta learning,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings",
153,Resources and Evaluation,language resources|automatic creation and evaluation of language resources|datasets for low resource languages,approaches for low-resource settings|data resources,chinese|japanese
157,Machine Translation,modelling,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency",
158,Multilingualism and Cross-Lingual NLP,code-switching|mixed language|multilingualism|cross-lingual transfer|mutlilingual representations|multilingual evaluation,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings|publicly available software and pre-trained models|data resources,chinese|japanese|korean|vietnamese
159,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",reasoning,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
162,Large Language Models,pre-training,nlp engineering experiment|publicly available software and pre-trained models|data resources,
164,Large Language Models,prompting|retrieval-augmented models|fine-tuning,"approaches for low-compute settings, efficiency|approaches for low-resource settings|publicly available software and pre-trained models",
165,Machine Translation,automatic evaluation,model analysis & interpretability|approaches for low-resource settings,
171,Large Language Models,prompting,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
176,Information Extraction,named entity recognition and relation extraction,model analysis & interpretability|approaches for low-resource settings,
178,Interpretability and Analysis of Models for NLP,feature attribution,model analysis & interpretability,
181,Machine Learning for NLP,multi-task learning|transfer learning / domain adaptation,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings|publicly available software and pre-trained models|position papers",
183,Large Language Models,scaling,model analysis & interpretability,
186,Question Answering,interpretability|reasoning,nlp engineering experiment,
187,Machine Learning for NLP,data augmentation,approaches for low-resource settings,
194,Multilingualism and Cross-Lingual NLP,cross-lingual transfer,nlp engineering experiment,
197,Ethics and NLP,human factors in nlp,model analysis & interpretability,
202,"Syntax: Tagging, Chunking, and Parsing",semantic parsing,nlp engineering experiment|publicly available software and pre-trained models|theory,
203,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument quality assessment,data resources,
206,Discourse and Pragmatics,discourse relations|discourse parsing,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
211,Machine Learning for NLP,self-supervised learning|transfer learning / domain adaptation|representation learning,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
220,"Language Grounding to Vision, Robotics, and Beyond",cross-modal application,nlp engineering experiment,
221,Machine Translation,online adaptation for mt,nlp engineering experiment|model analysis & interpretability|data resources,
228,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",stance detection,nlp engineering experiment|approaches for low-resource settings,
230,Interpretability and Analysis of Models for NLP,robustness,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings,
232,Generation,retrieval-augmented generation,nlp engineering experiment,
233,Generation,data-to-text generation,approaches for low-resource settings,
236,"Language Grounding to Vision, Robotics, and Beyond",,approaches for low-resource settings,
240,Information Extraction,zero/few-shot extraction,approaches for low-resource settings,
245,Multilingualism and Cross-Lingual NLP,cross-lingual transfer|mutlilingual representations,nlp engineering experiment|approaches for low-resource settings,spanish|chinese|arabic|hindi|turkish|polish|japanese|portuguese|korean
249,"Language Grounding to Vision, Robotics, and Beyond",cross-modal pretraining|cross-modal content generation|cross-modal application,nlp engineering experiment|model analysis & interpretability|data resources,
250,Generation,retrieval-augmented generation,nlp engineering experiment|model analysis & interpretability,
253,Resources and Evaluation,benchmarking,data resources,
254,Information Extraction,open information extraction,nlp engineering experiment|model analysis & interpretability|data analysis,
255,Machine Learning for NLP,graph-based methods,model analysis & interpretability|reproduction study,
258,Machine Learning for NLP,graph-based methods|representation learning,data analysis|reproduction study,
267,Discourse and Pragmatics,discourse relations,nlp engineering experiment,
269,Speech and Multimodality,multimodality,approaches for low-resource settings,
273,Large Language Models,continual learning,nlp engineering experiment,
274,Machine Learning for NLP,self-supervised learning|reinforcement learning|human-in-the-loop / active learning,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings|publicly available software and pre-trained models|data resources,
276,Machine Translation,pre-training for mt,nlp engineering experiment|publicly available software and pre-trained models,
279,Machine Translation,speech translation,nlp engineering experiment,
282,Theme Track: Reality Check,forgotten lessons,nlp engineering experiment|reproduction study|position papers,
283,Multilingualism and Cross-Lingual NLP,cross-lingual transfer,nlp engineering experiment,
284,Generation,domain adaptation,nlp engineering experiment|approaches for low-resource settings,
286,"Language Grounding to Vision, Robotics, and Beyond",vision question answering|cross-modal application,nlp engineering experiment|publicly available software and pre-trained models|data resources|data analysis,
290,NLP Applications,hate speech detection,"approaches for low-compute settings, efficiency",
292,Large Language Models,pre-training|interpretability/analysis|robustness,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency",
293,Computational Social Science and Cultural Analytics,frame detection and analysis,model analysis & interpretability|data resources|data analysis,
294,Large Language Models,pre-training|scaling|fine-tuning,"nlp engineering experiment|approaches for low-compute settings, efficiency|theory",
295,Machine Learning for NLP,model compression methods,nlp engineering experiment,
299,NLP Applications,knowledge graphs,nlp engineering experiment,
300,Resources and Evaluation,nlp datasets,data resources,chinese
302,Theme Track: Reality Check,evaluation|methodology|negative results,nlp engineering experiment|model analysis & interpretability,
304,Machine Translation,few-shot/zero-shot mt,nlp engineering experiment|publicly available software and pre-trained models,
312,Generation,text-to-text generation,nlp engineering experiment,
317,NLP Applications,knowledge graphs,nlp engineering experiment,
319,"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",linguistic theories,nlp engineering experiment|model analysis & interpretability|data analysis|reproduction study|theory,german
322,Resources and Evaluation,corpus creation|benchmarking|language resources|automatic creation and evaluation of language resources|nlp datasets|datasets for low resource languages,data resources,arabic
324,Dialogue and Interactive Systems,multilingual / low resource|conversational modeling,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings,
326,Question Answering,reading comprehension,nlp engineering experiment,
327,Machine Translation,speech translation,nlp engineering experiment,german|spanish
328,Summarization,abstractive summarisation|long-form summarization|factuality,model analysis & interpretability|publicly available software and pre-trained models|data resources|data analysis,
331,Machine Learning for NLP,optimization methods,theory,
336,Machine Learning for NLP,model compression methods,"approaches for low-compute settings, efficiency|theory",
339,NLP Applications,"fact checking, rumour/misinformation detection",nlp engineering experiment|model analysis & interpretability|data resources,
341,Speech and Multimodality,multimodality,nlp engineering experiment,
342,"Language Grounding to Vision, Robotics, and Beyond",cross-modal content generation,nlp engineering experiment|publicly available software and pre-trained models|theory,
343,Speech and Multimodality,multimodality,nlp engineering experiment|data resources,
345,"Language Grounding to Vision, Robotics, and Beyond",cross-modal pretraining,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
347,Machine Learning for NLP,knowledge-augmented methods,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency",
348,Machine Learning for NLP,model compression methods,"approaches for low-compute settings, efficiency",
352,Interpretability and Analysis of Models for NLP,feature attribution,model analysis & interpretability,
353,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",applications,nlp engineering experiment,
355,Dialogue and Interactive Systems,knowledge augmented,nlp engineering experiment,
360,Interpretability and Analysis of Models for NLP,calibration/uncertainty,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
361,Resources and Evaluation,benchmarking,data resources,chinese
366,Summarization,extractive summarisation,nlp engineering experiment,
367,Large Language Models,,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
377,"Syntax: Tagging, Chunking, and Parsing","part-of-speech tagging|low-resources languages pos tagging, parsing and related tasks",approaches for low-resource settings|data resources,african languages
378,Summarization,conversational summarization|evaluation|factuality,nlp engineering experiment|publicly available software and pre-trained models|data resources,
379,Resources and Evaluation,nlp datasets,publicly available software and pre-trained models|data resources,
382,Dialogue and Interactive Systems,applications,nlp engineering experiment,
384,Large Language Models,interpretability/analysis,model analysis & interpretability,
391,"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",cognitive modeling,model analysis & interpretability,
392,Information Extraction,event extraction|zero/few-shot extraction,approaches for low-resource settings,
394,NLP Applications,"healthcare applications, clincial nlp",model analysis & interpretability|data resources|data analysis,
395,Theme Track: Reality Check,evaluation,"approaches for low-compute settings, efficiency|position papers",
399,Interpretability and Analysis of Models for NLP,hierarchical & concept explanations|robustness,model analysis & interpretability|data resources,
403,Speech and Multimodality,speech technologies,nlp engineering experiment,
404,NLP Applications,"healthcare applications, clincial nlp",model analysis & interpretability|approaches for low-resource settings|data analysis,
406,Information Retrieval and Text Mining,document representation,nlp engineering experiment,
410,NLP Applications,security/privacy,nlp engineering experiment|approaches for low-resource settings|theory,
411,Information Extraction,named entity recognition and relation extraction,approaches for low-resource settings,
415,Large Language Models,interpretability/analysis,model analysis & interpretability,
420,NLP Applications,"educational applications, gec, essay scoring",publicly available software and pre-trained models|data resources,
424,Generation,data-to-text generation,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings",
425,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
426,Interpretability and Analysis of Models for NLP,feature attribution,model analysis & interpretability,
427,Dialogue and Interactive Systems,factuality,nlp engineering experiment,
430,Information Extraction,named entity recognition and relation extraction|document-level extraction,nlp engineering experiment,
432,Generation,text-to-text generation,nlp engineering experiment|model analysis & interpretability,
433,Resources and Evaluation,benchmarking|language resources|multilingual corpora|nlp datasets|automatic evaluation of datasets|evaluation|reproducibility,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings|data resources|data analysis",indonesian|banjar|batak toba|madura|ngaju|lampung nyo|batak karo|tok pisin|tetun dili|dayak|khek|tiociu|minangkabau|acehnese|buginese|sundanese|javenese|balinese|batak
437,Generation,text-to-text generation,nlp engineering experiment,
442,Generation,efficient models,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings|publicly available software and pre-trained models",
451,Question Answering,interpretability|table qa,nlp engineering experiment|model analysis & interpretability|data resources|data analysis,
452,Question Answering,open-domain qa,nlp engineering experiment,
453,Question Answering,commonsense qa|knowledge base qa|reasoning,nlp engineering experiment,
456,Generation,domain adaptation|text-to-text generation,nlp engineering experiment|publicly available software and pre-trained models,
466,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",semantic textual similarity,theory,
467,Machine Learning for NLP,graph-based methods,nlp engineering experiment,
468,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument mining,model analysis & interpretability,
469,Speech and Multimodality,multimodality,nlp engineering experiment|approaches for low-resource settings|reproduction study,
471,Information Extraction,knowledge base construction,nlp engineering experiment|publicly available software and pre-trained models,
472,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",phrase/sentence embedding,theory,
473,Dialogue and Interactive Systems,conversational modeling,publicly available software and pre-trained models|data resources,
474,Information Extraction,zero/few-shot extraction,approaches for low-resource settings,
477,Question Answering,interpretability,model analysis & interpretability,
481,Dialogue and Interactive Systems,conversational modeling,nlp engineering experiment|model analysis & interpretability,
485,Machine Learning for NLP,parameter-efficient finetuning,nlp engineering experiment|publicly available software and pre-trained models,
486,Machine Learning for NLP,model compression methods,"model analysis & interpretability|approaches for low-compute settings, efficiency",
487,Semantics: Lexical,lexical semantic change,approaches for low-resource settings,
488,Computational Social Science and Cultural Analytics,emotion detection and analysis,nlp engineering experiment|data resources,
491,Machine Translation,speech translation,nlp engineering experiment,
495,Large Language Models,pre-training,publicly available software and pre-trained models|data resources,
496,Information Extraction,event extraction,nlp engineering experiment|theory,
501,Information Extraction,event extraction,nlp engineering experiment|theory,
505,Machine Translation,efficient inference for mt|parallel decoding/non-autoregressive mt,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|approaches for low-resource settings|publicly available software and pre-trained models",
510,Theme Track: Reality Check,evaluation,position papers,
511,Generation,inference methods,nlp engineering experiment,
514,"Language Grounding to Vision, Robotics, and Beyond",cross-modal application,"approaches for low-compute settings, efficiency",
518,Large Language Models,pre-training,nlp engineering experiment|publicly available software and pre-trained models,
521,Resources and Evaluation,nlp datasets,publicly available software and pre-trained models|data resources,
522,NLP Applications,hate speech detection,data resources,
525,Large Language Models,fine-tuning,nlp engineering experiment,
526,Information Extraction,knowledge base construction,model analysis & interpretability|publicly available software and pre-trained models,
527,"Language Grounding to Vision, Robotics, and Beyond",cross-modal application,"nlp engineering experiment|approaches for low-compute settings, efficiency",
530,NLP Applications,"fact checking, rumour/misinformation detection",nlp engineering experiment|model analysis & interpretability,
532,Speech and Multimodality,multimodality,publicly available software and pre-trained models,
533,NLP Applications,multimodal applications,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
534,Speech and Multimodality,multimodality,model analysis & interpretability,
535,Information Extraction,event extraction,nlp engineering experiment,
536,Resources and Evaluation,nlp datasets,data resources,korean|hanja
539,Machine Translation,few-shot/zero-shot mt,nlp engineering experiment|model analysis & interpretability,
540,NLP Applications,multimodal applications,nlp engineering experiment,chinese
541,NLP Applications,financial/business nlp,"approaches for low-compute settings, efficiency|approaches for low-resource settings",
544,"Language Grounding to Vision, Robotics, and Beyond",cross-modal application,nlp engineering experiment,
547,Large Language Models,prompting|applications,nlp engineering experiment|publicly available software and pre-trained models,
548,Speech and Multimodality,spoken language understanding|speech and vision|speech technologies,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|reproduction study",
549,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",reasoning,model analysis & interpretability|data analysis,
550,Resources and Evaluation,language resources,approaches for low-resource settings,
553,Speech and Multimodality,spoken language understanding|speech and vision|speech technologies|multimodality,nlp engineering experiment|model analysis & interpretability|reproduction study,
555,Speech and Multimodality,spoken language translation|speech and vision|speech technologies|multimodality,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings|data resources|reproduction study,
558,Generation,text-to-text generation,data resources,chinese
563,Resources and Evaluation,nlp datasets|evaluation,nlp engineering experiment|data resources,
568,Information Extraction,zero/few-shot extraction,nlp engineering experiment,
571,Large Language Models,scaling|interpretability/analysis,model analysis & interpretability|data resources|data analysis,
576,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",textual entailment,nlp engineering experiment,
578,Large Language Models,applications,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
579,Generation,retrieval-augmented generation,nlp engineering experiment|model analysis & interpretability,
581,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment|data resources|reproduction study,
582,"Language Grounding to Vision, Robotics, and Beyond",cross-modal content generation,nlp engineering experiment,
584,Large Language Models,applications|fine-tuning,"approaches for low-compute settings, efficiency|approaches for low-resource settings",
585,Information Extraction,named entity recognition and relation extraction|event extraction,nlp engineering experiment|model analysis & interpretability|reproduction study,
586,Dialogue and Interactive Systems,task-oriented,"nlp engineering experiment|approaches for low-compute settings, efficiency|data resources",
589,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment|theory,chinese
590,Large Language Models,pre-training,nlp engineering experiment,
594,Dialogue and Interactive Systems,grounded dialog|conversational modeling,publicly available software and pre-trained models|data analysis,
596,Resources and Evaluation,corpus creation,data resources,chinese
598,Information Extraction,event extraction,nlp engineering experiment|approaches for low-resource settings,
599,Machine Learning for NLP,few-shot learning,approaches for low-resource settings,
600,"Language Grounding to Vision, Robotics, and Beyond",cross-modal pretraining,model analysis & interpretability,
601,NLP Applications,security/privacy,nlp engineering experiment,
604,NLP Applications,knowledge graphs,"nlp engineering experiment|approaches for low-compute settings, efficiency",
605,NLP Applications,knowledge graphs,nlp engineering experiment|model analysis & interpretability,
606,Computational Social Science and Cultural Analytics,psycho-demographic trait prediction,position papers,
608,"Language Grounding to Vision, Robotics, and Beyond",cross-modal pretraining,nlp engineering experiment|publicly available software and pre-trained models,
609,Information Extraction,named entity recognition and relation extraction,model analysis & interpretability,
610,Machine Learning for NLP,data augmentation,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
612,Machine Translation,speech translation,nlp engineering experiment|model analysis & interpretability,
613,Information Extraction,named entity recognition and relation extraction|event extraction|zero/few-shot extraction,approaches for low-resource settings|data resources,
614,Resources and Evaluation,nlp datasets,nlp engineering experiment|data resources|data analysis,
618,Speech and Multimodality,,model analysis & interpretability,
619,NLP Applications,"educational applications, gec, essay scoring",nlp engineering experiment|model analysis & interpretability,
620,Machine Learning for NLP,model compression methods,"approaches for low-compute settings, efficiency",
624,Machine Learning for NLP,representation learning,nlp engineering experiment,
625,NLP Applications,multimodal applications,nlp engineering experiment|approaches for low-resource settings,
626,Resources and Evaluation,corpus creation|language resources|datasets for low resource languages,data resources,swiss german|german
633,Large Language Models,pre-training,model analysis & interpretability|reproduction study,
642,Dialogue and Interactive Systems,task-oriented,nlp engineering experiment|publicly available software and pre-trained models,
645,Large Language Models,prompting,nlp engineering experiment,
647,Discourse and Pragmatics,discourse relations,nlp engineering experiment|publicly available software and pre-trained models,
649,"Language Grounding to Vision, Robotics, and Beyond",vision language navigation|cross-modal application,nlp engineering experiment|approaches for low-resource settings,
650,Interpretability and Analysis of Models for NLP,adversarial attacks/examples/training,model analysis & interpretability,
651,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument mining,nlp engineering experiment|data resources,
652,Speech and Multimodality,multimodality,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
657,"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",linguistic theories,approaches for low-resource settings,tagalog|bikol|cebuano
658,Dialogue and Interactive Systems,applications,nlp engineering experiment,
661,Theme Track: Reality Check,ai hype & expectations,position papers|surveys,
663,Large Language Models,prompting|scaling|interpretability/analysis,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency",
664,Interpretability and Analysis of Models for NLP,probing,model analysis & interpretability,
676,Interpretability and Analysis of Models for NLP,knowledge tracing/discovering/inducing,model analysis & interpretability,
677,NLP Applications,"healthcare applications, clincial nlp","approaches for low-compute settings, efficiency",
679,Generation,text-to-text generation,nlp engineering experiment,
680,Machine Learning for NLP,parameter-efficient finetuning,"nlp engineering experiment|approaches for low-compute settings, efficiency",
683,NLP Applications,financial/business nlp,data resources,
692,Theme Track: Reality Check,(non-)reproducibility|evaluation|methodology,reproduction study,
693,Multilingualism and Cross-Lingual NLP,cross-lingual transfer,approaches for low-resource settings,chinese|spanish|indonesian
698,Large Language Models,pre-training|retrieval-augmented models,publicly available software and pre-trained models|data resources,
701,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument mining,model analysis & interpretability|data analysis,
703,Dialogue and Interactive Systems,human-in-the-loop,nlp engineering experiment|data resources,
705,Dialogue and Interactive Systems,knowledge augmented,approaches for low-resource settings,
706,Dialogue and Interactive Systems,conversational modeling,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings,
707,Resources and Evaluation,corpus creation|language resources|nlp datasets,model analysis & interpretability|approaches for low-resource settings|data resources,
710,NLP Applications,knowledge graphs,nlp engineering experiment|model analysis & interpretability,
711,Information Extraction,named entity recognition and relation extraction|event extraction|multilingual extraction,nlp engineering experiment,chinese|arabic|german|french|finnish
712,Information Retrieval and Text Mining,passage retrieval,nlp engineering experiment,
713,Multilingualism and Cross-Lingual NLP,cross-lingual transfer|multilingual pre-training,model analysis & interpretability|publicly available software and pre-trained models|data resources,
718,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument mining,nlp engineering experiment,
720,Generation,multilingualism|text-to-text generation,data resources|data analysis,chinese
726,"Language Grounding to Vision, Robotics, and Beyond",cross-modal application,nlp engineering experiment|data resources,
728,Ethics and NLP,data ethics,data analysis|position papers|theory,
731,Dialogue and Interactive Systems,spoken dialogue systems,nlp engineering experiment|data resources|data analysis,
735,Generation,text-to-text generation,nlp engineering experiment,
736,Resources and Evaluation,automatic creation and evaluation of language resources,approaches for low-resource settings,
738,NLP Applications,knowledge graphs,nlp engineering experiment,
739,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument mining,model analysis & interpretability|data resources|data analysis,chinese
745,Machine Learning for NLP,continual learning,nlp engineering experiment,
747,Question Answering,generalization,nlp engineering experiment,
751,Linguistic Diversity,less-resourced languages,nlp engineering experiment|approaches for low-resource settings,hebrew
755,NLP Applications,security/privacy,nlp engineering experiment,
759,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment|approaches for low-resource settings,
766,Dialogue and Interactive Systems,task-oriented,publicly available software and pre-trained models,
773,Dialogue and Interactive Systems,grounded dialog|conversational modeling,nlp engineering experiment,
778,Resources and Evaluation,evaluation methodologies,nlp engineering experiment,
784,Information Retrieval and Text Mining,dense retrieval,nlp engineering experiment|model analysis & interpretability|publicly available software and pre-trained models,
786,Speech and Multimodality,multimodality,approaches for low-resource settings|publicly available software and pre-trained models,
788,NLP Applications,code generation and understanding,nlp engineering experiment,
789,Resources and Evaluation,evaluation,model analysis & interpretability,
790,Interpretability and Analysis of Models for NLP,topic modeling,model analysis & interpretability,
792,Discourse and Pragmatics,coherence,model analysis & interpretability,
795,Large Language Models,scaling,"approaches for low-compute settings, efficiency",
799,Information Extraction,document-level extraction,nlp engineering experiment|publicly available software and pre-trained models,
800,Large Language Models,interpretability/analysis,nlp engineering experiment|model analysis & interpretability,
802,Discourse and Pragmatics,discourse relations,nlp engineering experiment|model analysis & interpretability,
803,Information Extraction,named entity recognition and relation extraction|multilingual extraction,nlp engineering experiment|publicly available software and pre-trained models|data resources,arabic|german|spanish; castilian|finnish|french|hindi|hungarian|japanese|polish|russian|turkish|chinese
807,Machine Translation,domain adaptation,nlp engineering experiment|approaches for low-resource settings,
809,Dialogue and Interactive Systems,task-oriented,nlp engineering experiment,
810,Large Language Models,interpretability/analysis,nlp engineering experiment|approaches for low-resource settings|reproduction study,
813,Machine Learning for NLP,transfer learning / domain adaptation|parameter-efficient finetuning|few-shot learning,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings|publicly available software and pre-trained models|data resources",chinese
819,"Language Grounding to Vision, Robotics, and Beyond",cross-modal content generation,publicly available software and pre-trained models,
821,Information Extraction,event extraction,model analysis & interpretability,
823,Multilingualism and Cross-Lingual NLP,multilingualism,approaches for low-resource settings|publicly available software and pre-trained models,
824,Information Extraction,open information extraction,nlp engineering experiment|publicly available software and pre-trained models|data resources,
829,Multilingualism and Cross-Lingual NLP,multilingual pre-training,publicly available software and pre-trained models,
832,Machine Translation,automatic evaluation,model analysis & interpretability,german
833,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
834,Theme Track: Reality Check,evaluation|methodology|ai hype & expectations|science-vs-engineering,reproduction study|position papers,
835,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",paraphrase recognition|textual entailment|natural language inference,nlp engineering experiment,
843,NLP Applications,"healthcare applications, clincial nlp",nlp engineering experiment,
844,Machine Learning for NLP,generative models,nlp engineering experiment|theory,
845,Dialogue and Interactive Systems,task-oriented,nlp engineering experiment|approaches for low-resource settings,
851,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",semantic textual similarity|phrase/sentence embedding,nlp engineering experiment|approaches for low-resource settings|data resources,
854,Machine Learning for NLP,contrastive learning|representation learning,"approaches for low-compute settings, efficiency|approaches for low-resource settings",
855,Summarization,multimodal summarization,nlp engineering experiment,
858,Summarization,abstractive summarisation,nlp engineering experiment,
860,Resources and Evaluation,datasets for low resource languages,data resources,korean
867,Speech and Multimodality,speech technologies,publicly available software and pre-trained models,hokkien|french|russian|spanish
868,Large Language Models,fine-tuning,nlp engineering experiment|model analysis & interpretability,
872,Question Answering,question generation,theory,
882,Machine Learning for NLP,representation learning,"approaches for low-compute settings, efficiency",
883,Discourse and Pragmatics,coreference resolution,"approaches for low-compute settings, efficiency",
886,Discourse and Pragmatics,discourse relations,nlp engineering experiment,
887,Theme Track: Reality Check,lessons from deployment,data analysis,
892,Speech and Multimodality,spoken language understanding,nlp engineering experiment,
895,Interpretability and Analysis of Models for NLP,explanation faithfulness|feature attribution,model analysis & interpretability,
896,Dialogue and Interactive Systems,multi-modal dialogue systems,data resources,
899,Machine Translation,multilingual mt,nlp engineering experiment|approaches for low-resource settings,
905,NLP Applications,"fact checking, rumour/misinformation detection",publicly available software and pre-trained models|data resources,chinese
907,"Language Grounding to Vision, Robotics, and Beyond",cross-modal content generation|cross-modal application,"nlp engineering experiment|model analysis & interpretability|approaches for low-compute settings, efficiency|approaches for low-resource settings|publicly available software and pre-trained models|data resources|data analysis",
908,"Language Grounding to Vision, Robotics, and Beyond",cross-modal content generation|cross-modal application,model analysis & interpretability|approaches for low-resource settings,chinese
909,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",argument generation,nlp engineering experiment|model analysis & interpretability|approaches for low-resource settings|publicly available software and pre-trained models|data resources|data analysis,
910,"Semantics: Sentence-level Semantics, Textual Inference, and Other Areas",semantic textual similarity,nlp engineering experiment|approaches for low-resource settings|publicly available software and pre-trained models,
914,NLP Applications,code generation and understanding,nlp engineering experiment,
915,Large Language Models,interpretability/analysis,theory,
921,Linguistic Diversity,less-resourced languages|resources for less-resourced languages,approaches for low-resource settings|data resources,hausa|igbo|nigerian pidgin|yoruba
